     4.615      5.333      3.000      6.000      6.000      6.000      6.000      6.000  303      1.000      0.000      7.000     10.000      3.000      2.000      0.000      0.000      1.000      0.000      3.000
     2.000      1.667      2.333      2.000      2.643      2.000      2.667      3.000  864      1.000      0.000      7.000     10.000      5.000      5.000      1.000      0.000      0.000      0.000      1.000
     3.286      3.333      1.667      4.500      3.571      4.667      1.667      4.500  898      3.000      1.000      7.000     10.000      4.000      3.000      0.015      0.982      0.000      0.003      2.000
     2.786      1.000      1.333      4.167      5.429      6.000      5.333      5.833  162      1.000      0.000      7.000     10.000      5.000      5.000      0.000      0.000      0.000      1.000      4.000
     3.071      1.000      4.000      4.333      4.818      6.000      4.000      5.333 1204      1.000      0.000      7.000     10.000      5.000      5.000      0.000      0.028      0.000      0.972      4.000
     3.000      2.667      2.000      3.833      4.643      5.333      3.667      4.333  703      2.000      0.000      7.000     10.000      2.000      3.000      0.000      0.172      0.000      0.828      4.000
     2.286      1.667      2.000      3.167      4.357      4.333      3.000      5.500  657      2.000      9.000      7.000     10.000      4.000      4.000      0.000      0.000      0.000      1.000      4.000
     1.714      1.000      1.000      2.667      2.636      3.000      1.667      4.333  794      2.000      0.000      7.000     10.000      5.000      5.000      1.000      0.000      0.000      0.000      1.000
     2.143      2.667      1.667      2.333      4.643      5.000      4.000      4.833  179      7.000      3.000      7.000     10.000      4.000      5.000      0.000      0.000      0.000      1.000      4.000
     3.071      3.000      3.333      2.833      3.214      3.000      3.667      3.000  624      7.000      9.000      7.000     10.000      5.000      5.000      1.000      0.000      0.000      0.000      1.000
     3.500      3.667      2.667      3.833      3.500      3.667      2.667      3.833 1166      2.000      5.000      7.000     10.000      4.000      2.000      0.344      0.656      0.000      0.000      2.000
     3.214      3.000      3.000      3.500      5.357      6.000      4.000      6.000 1342      5.000      1.000      7.000     10.000      5.000      4.000      0.000      0.186      0.001      0.813      4.000
     5.923      6.000      5.667      6.000      5.846      5.667      5.667      6.000 1135      1.000      1.000      7.000     10.000      1.000      1.000      0.000      0.000      1.000      0.000      3.000
     2.917      3.000      1.333      4.200      3.615      4.000      2.333      4.500 1173      1.000      0.000      7.000     10.000      5.000      3.000      0.459      0.450      0.000      0.091      1.000
     2.769      2.000      1.500      4.167      4.538      4.333      5.000      5.333  871      1.000      0.000      7.000     10.000      4.000      4.000      0.000      0.007      0.000      0.993      4.000
     1.714      1.000      1.000      2.667      1.643      1.000      1.000      2.333  444      1.000      0.000      7.000     10.000      3.000      4.000      1.000      0.000      0.000      0.000      1.000
     4.500      5.000      2.667      5.000      4.714      5.000      3.000      5.333 1497      2.000      0.000      7.000     10.000      1.000      1.000      0.000      0.956      0.044      0.000      2.000
     3.500      4.333      2.000      4.000      3.929      5.000      3.333      4.500  209      5.000      7.000      7.000     10.000      3.000      2.000      0.000      0.999      0.000      0.001      2.000
     5.500      5.667      4.333      5.833      5.500      5.667      5.667      5.833  498      2.000      0.000      7.000      9.000      2.000      1.000      0.000      0.000      1.000      0.000      3.000
     5.786      5.667      5.333      6.000      5.357      5.333      5.000      5.333 1727      1.000      0.000      7.000      9.000      1.000      1.000      0.000      0.000      1.000      0.000      3.000
     4.417      5.000      2.000      5.000      4.500      5.333      2.000      5.000 1369      1.000      1.000      7.000      9.000      3.000      2.000      0.000      1.000      0.000      0.000      2.000
     1.000      1.000      1.000      1.000      4.929      5.667      5.000      5.000 1178      7.000      9.000      7.000      9.000      5.000      5.000      0.000      0.000      0.000      1.000      4.000
     3.667      3.000      1.000      5.600      4.857      6.000      1.000      5.833 1757      5.000      9.000      7.000      9.000      5.000      5.000      0.000      0.999      0.000      0.001      2.000
