19,30.0,5.0,5.0,38.0,0.0,3.0,0.0,5.0,3.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,4.0,4.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,6.0
20,31.0,1.0,12.0,58.0,1.0,3.0,1.0,5.0,4.0,6.0,6.0,6.0,4.0,4.0,6.0,6.0,6.0,6.0,2.0,5.0,4.0,5.0,1.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0
21,33.0,2.0,1.0,27.0,0.0,3.0,0.0,3.0,5.0,6.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,6.0,6.0,6.0,6.0,5.0,6.0,4.0,4.0,5.0,6.0,4.0,4.0
22,35.0,5.0,30.0,60.0,1.0,3.0,0.0,1.0,3.0,3.0,3.0,4.0,3.0,5.0,5.0,4.0,5.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,5.0,3.0,5.0,5.0,4.0,4.0,6.0,4.0,5.0,6.0,5.0,5.0
23,36.0,1.0,10.0,34.0,1.0,1.0,0.0,3.0,4.0,2.0,6.0,2.0,5.0,2.0,6.0,6.0,6.0,6.0,6.0,2.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,4.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0
24,40.0,1.0,10.0,57.0,0.0,3.0,0.0,5.0,6.0,4.0,6.0,3.0,4.0,4.0,6.0,6.0,6.0,2.0,6.0,4.0,5.0,4.0,2.0,2.0,5.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,3.0
25,42.0,5.0,7.0,31.0,0.0,3.0,0.0,6.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,1.0,4.0,3.0,4.0,1.0,4.0,2.0,5.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,3.0,5.0
26,44.0,2.0,25.0,46.0,1.0,3.0,0.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,2.0,3.0,2.0,3.0,4.0,4.0,2.0,2.0,4.0,6.0,5.0,6.0,5.0,6.0,3.0,4.0,4.0,6.0,4.0,5.0
27,45.0,2.0,15.0,48.0,1.0,3.0,0.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,6.0,6.0,1.0,1.0,4.0,4.0,3.0,3.0
28,46.0,2.0,2.0,36.0,1.0,3.0,2.0,6.0,5.0,6.0,5.0,6.0,4.0,5.0,3.0,5.0,2.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,6.0
29,48.0,3.0,4.0,44.0,1.0,3.0,0.0,5.0,5.0,6.0,6.0,4.0,5.0,5.0,6.0,5.0,6.0,6.0,3.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,6.0,5.0,5.0,4.0,3.0,4.0,5.0,4.0,6.0,6.0
30,49.0,4.0,1.0,40.0,0.0,3.0,1.0,1.0,4.0,4.0,2.0,2.0,4.0,4.0,5.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,6.0,1.0,6.0,2.0,5.0,2.0,5.0,4.0,6.0,4.0
31,52.0,2.0,5.0,49.0,0.0,2.0,2.0,2.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,5.0
32,53.0,1.0,1.0,40.0,1.0,3.0,1.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,2.0,3.0,3.0,4.0,4.0,5.0
33,55.0,1.0,5.0,41.0,0.0,2.0,0.0,4.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,5.0,3.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,6.0,5.0
34,56.0,4.0,2.0,38.0,1.0,1.0,0.0,6.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,2.0,5.0,1.0,4.0,2.0,4.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,5.0,2.0,4.0,1.0,3.0,2.0,2.0,2.0
35,57.0,1.0,8.0,35.0,0.0,2.0,2.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,5.0,5.0,6.0,5.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0
36,58.0,1.0,1.0,47.0,1.0,3.0,2.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,3.0,5.0,5.0,2.0,4.0,4.0,4.0,3.0,3.0
37,59.0,2.0,1.0,34.0,0.0,3.0,0.0,3.0,2.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,1.0,5.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0,2.0,4.0
38,60.0,1.0,20.0,41.0,1.0,3.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,2.0,4.0,2.0,4.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0
39,63.0,1.0,5.0,32.0,0.0,3.0,0.0,5.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0
40,67.0,3.0,1.0,49.0,1.0,3.0,1.0,6.0,4.0,6.0,5.0,6.0,6.0,6.0,6.0,3.0,6.0,4.0,3.0,4.0,3.0,5.0,3.0,3.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0
41,68.0,1.0,5.0,57.0,0.0,1.0,0.0,6.0,4.0,5.0,4.0,5.0,5.0,5.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0
42,69.0,1.0,1.0,39.0,0.0,3.0,0.0,3.0,2.0,5.0,3.0,5.0,2.0,4.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,2.0,2.0,4.0,5.0,5.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,3.0,6.0
43,70.0,1.0,6.0,57.0,0.0,2.0,0.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0
44,71.0,1.0,1.0,54.0,0.0,1.0,0.0,6.0,6.0,4.0,5.0,3.0,5.0,3.0,5.0,4.0,6.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,5.0,5.0,5.0,4.0,6.0,5.0,6.0,5.0,5.0,4.0
45,72.0,1.0,3.0,35.0,0.0,3.0,1.0,4.0,5.0,6.0,5.0,6.0,4.0,6.0,3.0,2.0,2.0,4.0,2.0,2.0,3.0,4.0,2.0,2.0,4.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,6.0
46,75.0,1.0,12.0,33.0,1.0,3.0,1.0,2.0,3.0,5.0,5.0,5.0,3.0,5.0,2.0,6.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,5.0,6.0,6.0,2.0,4.0
47,81.0,1.0,4.0,32.0,1.0,1.0,0.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0
48,82.0,2.0,6.0,34.0,0.0,3.0,2.0,6.0,5.0,6.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0
49,83.0,2.0,11.0,46.0,0.0,2.0,0.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,6.0
50,84.0,3.0,7.0,46.0,1.0,3.0,3.0,5.0,3.0,5.0,3.0,4.0,3.0,5.0,4.0,3.0,2.0,3.0,5.0,3.0,2.0,2.0,2.0,2.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,6.0,5.0,4.0,4.0,3.0
51,85.0,2.0,7.0,46.0,0.0,3.0,1.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
52,86.0,1.0,20.0,57.0,0.0,1.0,0.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,2.0,2.0,2.0,2.0,4.0,4.0,6.0,6.0,6.0,6.0,2.0,2.0,6.0,5.0,4.0,4.0
53,88.0,3.0,3.0,32.0,0.0,3.0,2.0,6.0,2.0,6.0,3.0,6.0,2.0,6.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,4.0,3.0,6.0,4.0,5.0,3.0,3.0,4.0,6.0,3.0,6.0
54,91.0,1.0,9.0,48.0,0.0,2.0,0.0,3.0,5.0,5.0,6.0,4.0,5.0,5.0,4.0,4.0,6.0,6.0,4.0,4.0,3.0,3.0,3.0,2.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,4.0,5.0,6.0,5.0,4.0
55,92.0,1.0,1.0,38.0,0.0,3.0,2.0,2.0,5.0,4.0,5.0,6.0,4.0,5.0,5.0,5.0,5.0,3.0,6.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0
56,94.0,1.0,5.0,50.0,0.0,3.0,1.0,4.0,5.0,6.0,6.0,6.0,4.0,6.0,5.0,4.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,1.0,6.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,6.0
57,95.0,1.0,5.0,31.0,1.0,1.0,0.0,2.0,4.0,3.0,4.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,4.0,2.0,4.0,2.0,5.0,2.0,1.0,2.0,1.0,1.0
58,97.0,5.0,1.0,39.0,0.0,1.0,0.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,2.0
59,98.0,5.0,12.0,59.0,1.0,2.0,2.0,5.0,4.0,2.0,4.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,4.0,2.0,1.0
60,99.0,2.0,8.0,38.0,1.0,1.0,1.0,3.0,5.0,4.0,5.0,4.0,5.0,4.0,2.0,2.0,6.0,4.0,1.0,1.0,2.0,2.0,3.0,3.0,5.0,3.0,6.0,3.0,6.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0
61,100.0,3.0,1.0,36.0,1.0,3.0,2.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,4.0,5.0,4.0,4.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0
62,101.0,2.0,1.0,32.0,1.0,1.0,0.0,2.0,4.0,4.0,5.0,6.0,5.0,4.0,4.0,4.0,1.0,5.0,5.0,5.0,4.0,5.0,1.0,1.0,3.0,5.0,5.0,5.0,5.0,6.0,5.0,2.0,6.0,6.0,5.0,5.0
63,102.0,5.0,1.0,40.0,0.0,2.0,2.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,6.0,6.0,3.0,3.0,3.0,3.0
64,103.0,3.0,7.0,38.0,0.0,1.0,0.0,4.0,5.0,5.0,4.0,3.0,3.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0
65,104.0,3.0,13.0,36.0,0.0,1.0,0.0,5.0,4.0,4.0,5.0,3.0,5.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0
66,105.0,1.0,30.0,62.0,0.0,3.0,2.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,2.0,6.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,6.0,6.0
67,106.0,3.0,25.0,48.0,0.0,2.0,2.0,4.0,2.0,3.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0
68,108.0,1.0,4.0,44.0,1.0,3.0,2.0,2.0,3.0,5.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,5.0,2.0,5.0,2.0,5.0,1.0,3.0,3.0,3.0,2.0,5.0
69,109.0,3.0,4.0,42.0,1.0,3.0,0.0,4.0,3.0,5.0,3.0,5.0,2.0,4.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0,4.0,4.0,5.0,5.0,4.0,4.0,1.0,2.0,5.0,4.0,3.0,4.0
70,110.0,3.0,5.0,44.0,1.0,3.0,0.0,6.0,3.0,5.0,4.0,4.0,2.0,5.0,5.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,6.0,4.0,5.0,5.0,2.0,5.0,5.0,4.0,4.0,3.0
71,113.0,5.0,3.0,39.0,1.0,3.0,2.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0
72,115.0,5.0,20.0,45.0,0.0,3.0,3.0,6.0,4.0,4.0,4.0,5.0,3.0,3.0,2.0,4.0,2.0,6.0,2.0,3.0,2.0,4.0,2.0,4.0,3.0,3.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,4.0,2.0,6.0
73,116.0,5.0,9.0,40.0,1.0,3.0,0.0,5.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,5.0
74,117.0,5.0,4.0,35.0,1.0,3.0,1.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,6.0,3.0,5.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,5.0,4.0,6.0,5.0,5.0,3.0,3.0,3.0,4.0,5.0
75,118.0,1.0,1.0,46.0,0.0,3.0,1.0,3.0,5.0,5.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,3.0,3.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,6.0,6.0,4.0,5.0,6.0,6.0
76,119.0,3.0,3.0,34.0,1.0,3.0,0.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,4.0,3.0,5.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,4.0,5.0,6.0,4.0,4.0,5.0,5.0,6.0,6.0
77,120.0,5.0,4.0,27.0,1.0,1.0,0.0,6.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,1.0,2.0,3.0,2.0,2.0
78,121.0,3.0,24.0,48.0,1.0,3.0,2.0,3.0,5.0,4.0,5.0,4.0,3.0,4.0,1.0,4.0,6.0,4.0,2.0,3.0,2.0,5.0,1.0,3.0,4.0,4.0,6.0,5.0,6.0,5.0,2.0,4.0,6.0,5.0,1.0,5.0
79,122.0,2.0,16.0,39.0,0.0,3.0,2.0,6.0,5.0,5.0,5.0,4.0,5.0,6.0,4.0,4.0,6.0,6.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0
80,123.0,5.0,13.0,36.0,0.0,3.0,2.0,6.0,3.0,5.0,3.0,4.0,2.0,4.0,2.0,3.0,5.0,4.0,1.0,3.0,2.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,5.0,2.0,5.0
81,124.0,4.0,1.0,33.0,0.0,1.0,0.0,6.0,4.0,5.0,4.0,5.0,3.0,5.0,4.0,2.0,5.0,4.0,2.0,1.0,3.0,2.0,3.0,2.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0
82,125.0,4.0,22.0,47.0,1.0,3.0,2.0,4.0,3.0,5.0,3.0,5.0,3.0,5.0,1.0,2.0,2.0,5.0,2.0,3.0,2.0,3.0,2.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,3.0,3.0,4.0,5.0,4.0,5.0
83,126.0,1.0,20.0,49.0,0.0,3.0,3.0,4.0,6.0,6.0,5.0,6.0,5.0,6.0,1.0,2.0,2.0,5.0,1.0,1.0,2.0,2.0,4.0,4.0,4.0,2.0,6.0,6.0,4.0,4.0,2.0,1.0,2.0,5.0,2.0,5.0
84,129.0,3.0,6.0,33.0,0.0,3.0,2.0,6.0,6.0,6.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,1.0,6.0,4.0,6.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,5.0,4.0,5.0,3.0,5.0
85,130.0,5.0,3.0,34.0,0.0,3.0,3.0,3.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,5.0,1.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,4.0,2.0,3.0,2.0,3.0
86,131.0,3.0,15.0,43.0,0.0,3.0,0.0,4.0,4.0,2.0,4.0,5.0,6.0,3.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,5.0,4.0,4.0,2.0,5.0,4.0,1.0,4.0,3.0,6.0,1.0,1.0
