303	2	43	1	1	2	6	1	2	2	1	1	5	56	11	69008	5	8	6	5	5	999	1	999	999	999	5	5	5	6	6	6	6	5	5	1	1	1	5	999	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	4	999	999	4	1	1	999	6	5	2	6	999	6	5	5	5	999	999	5	2	6	6	6	6	6	6	6	6	5	999	5	1	999	4	7	4	5	5	6	5	6	5	4	5	6	5	5	5	6	5	5	5	6	5	5	5	6	6	999	5	5	5	3	5	3	3	999	4	3	4	5	3	999	5	5	3	999	5	3	2	5	999	4	999	5	999	5	3	4	5	3	3	4	5	4	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	180	180	0	0	0	0	0	3	3	2	2	3	3	1	1	4	1	9	9	9	9	9	9	8	9	8	9	9	8	8	8	9	5	8	8	8	9	9	9	8	9	2	999	999	7	10	0	0	0	0	0
864	1	56	2	2	2	1	1	3	2	1	1	6	63	5	47240	4	7	1	2	1	4	1	1	4	4	2	2	2	3	3	2	1	2	2	3	1	1	3	3	2	1	3	2	2	2	3	2	1	4	1	1	4	3	3	3	4	4	2	2	1	3	1	2	1	1	1	1	1	1	1	2	3	1	1	1	5	6	1	6	1	1	6	2	2	5	2	1	1	5	3	5	6	4	3	4	4	2	1	3	3	1	1	3	1	1	3	1	3	3	1	1	1	1	3	3	4	4	1	1	5	4	3	4	1	4	1	1	2	1	4	2	4	2	3	4	4	3	1	3	4	5	1	1	1	2	1	1	4	1	1	4	1	2	1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	144	144	0	0	0	0	0	5	3	5	4	3	4	2	2	4	2	5	5	5	5	6	4	7	7	5	4	4	5	8	4	6	8	7	8	6	3	6	7	4	3	2	999	999	7	10	0	0	0	0	0
898	2	40	2	1	2	1	3	1	4	6	1	5	54	4	95470	1	1	2	2	2	2	1	1	1	999	999	999	999	999	999	999	4	2	4	2	2	2	2	1	6	6	4	4	4	3	5	5	4	2	2	2	2	1	6	6	4	4	4	3	2	5	3	4	2	1	2	1	1	1	3	3	3	3	3	3	3	3	3	3	5	4	5	4	4	4	4	4	4	4	4	4	2	6	5	6	4	5	5	4	3	2	5	3	4	3	5	4	4	5	5	5	5	5	4	4	4	4	4	4	3	5	1	5	1	1	1	3	1	1	2	3	3	3	3	4	2	1	3	1	1	1	2	2	2	2	4	1	1	4	1	2	2	1	2	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	120	1620	0	0	0	0	1	4	4	3	3	4	3	3	2	2	3	5	5	5	5	5	5	5	7	5	5	5	7	7	7	7	7	7	7	3	3	5	5	4	5	2	999	999	7	10	0	0	0	0	1
162	2	57	1	5	2	3	1	3	3	5	1	6	65	11	71000	3	6	5	6	5	5	1	999	5	5	5	5	6	6	6	6	1	1	1	6	1	1	2	1	5	6	6	1	6	1	6	6	6	6	1	6	5	5	5	6	6	6	6	6	3	2	1	2	1	1	1	3	1	1	6	6	6	5	5	5	1	1	5	1	5	5	1	2	5	1	6	6	6	5	1	1	1	5	7	6	6	2	5	4	4	1	1	2	2	2	3	4	6	6	6	6	6	6	6	6	6	6	6	6	5	1	1	5	3	1	1	1	1	2	5	1	5	1	2	1	3	3	3	1	3	1	1	1	3	999	4	3	4	1	2	5	1	1	1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	120	120	0	0	0	0	0	5	5	5	5	1	1	1	5	1	5	8	9	9	9	9	9	9	8	8	9	9	8	9	8	9	8	8	8	8	9	9	9	9	9	1	3	4	7	10	0	0	0	0	0
1204	1	25	1	0	2	1	1	3	3	6	1	5	55	3	75018	1	1	6	6	3	2	1	1	1	1	1	4	1	4	4	4	1	1	1	1	1	4	3	5	1	6	1	6	6	6	6	6	999	999	1	6	999	2	2	6	6	6	6	6	2	6	1	1	999	1	6	1	1	2	2	2	6	4	4	6	6	1	3	6	2	2	2	2	1	6	6	6	6	3	3	999	999	7	2	1	1	1	6	4	4	2	2	6	6	6	3	3	5	5	5	3	3	5	5	5	5	5	2	2	4	4	1	5	4	4	2	2	1	5	5	4	5	1	5	1	5	1	5	1	4	4	2	2	5	2	2	2	1	3	3	2	1	1	1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	110	110	0	0	0	0	0	5	5	5	5	1	1	4	4	1	1	6	9	9	7	3	8	8	8	8	3	8	8	4	8	8	3	5	3	5	6	3	5	3	3	1	1	1	7	10	0	0	0	0	0
703	2	41	1	2	2	1	2	3	5	6	1	4	42	10	59160	3	4	5	5	4	3	3	999	1	1	999	3	3	3	4	4	2	3	3	3	2	1	2	3	2	3	5	4	4	5	6	5	5	6	6	5	2	4	4	3	5	4	5	5	4	2	2	4	1	2	3	4	1	2	4	4	5	5	4	4	3	3	4	4	3	3	4	3	4	5	1	4	4	1	3	3	4	5	4	4	4	5	4	5	5	5	5	3	4	4	4	4	4	4	4	5	5	5	5	5	5	5	4	5	4	4	3	5	2	3	3	3	2	4	4	2	4	4	3	4	3	4	3	3	5	4	3	3	3	2	4	4	4	4	4	4	4	4	3	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	96	96	0	0	0	0	0	2	4	3	4	4	4	4	3	3	3	6	6	7	8	7	7	7	8	9	5	6	7	6	6	7	7	7	8	7	7	7	8	9	5	2	999	999	7	10	0	0	0	0	0
657	2	50	2	1	2	1	2	1	3	6	1	5	52	10	33320	4	7	2	3	5	3	1	1	3	2	2	4	5	4	3	4	2	2	1	1	1	1	3	2	4	5	3	3	2	2	4	4	5	5	1	1	5	3	5	5	6	5	6	6	4	6	1	2	3	1	2	5	2	4	3	3	5	4	5	4	6	1	2	6	4	2	4	4	3	4	5	5	5	3	4	6	6	6	4	7	6	5	5	5	4	5	6	5	4	6	4	3	4	4	4	4	4	5	5	4	5	5	4	5	4	2	2	4	3	4	4	5	2	2	3	3	4	2	1	2	2	2	2	3	4	3	2	4	2	2	5	2	2	4	4	4	3	1	3	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	60	70	0	0	0	0	30	4	4	4	4	2	3	4	4	4	3	5	5	6	5	6	7	6	6	7	7	8	7	4	5	9	4	8	7	5	7	8	7	9	7	2	999	999	7	10	0	0	0	0	9
794	2	54	2	0	2	1	2	1	3	5	1	5	54	10	86340	2	3	2	2	2	3	1	1	3	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	6	6	1	1	1	3	3	3	1	1	1	3	1	1	6	6	999	999	999	1	6	2	999	2	3	6	5	5	2	999	2	5	3	6	1	5	6	2	5	5	999	3	2	1	2	2	2	2	5	5	5	6	3	6	5	1	2	1	5	1	2	2	2	1	2	6	1	2	5	5	4	5	5	5	4	2	3	1	999	5	2	2	5	2	2	2	2	1	1	5	1	4	2	1	1	4	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	60	120	0	0	0	0	0	5	5	5	5	1	1	1	5	1	5	1	1	5	1	4	1	8	9	1	7	7	7	3	1	4	1	1	4	3	3	2	6	5	1	2	999	999	7	10	0	0	0	0	0
179	2	37	2	2	2	1	7	3	3	3	1	5	54	6	75013	1	1	3	3	3	3	3	3	3	3	4	4	4	4	3	4	3	3	2	2	1	1	1	3	4	3	2	1	3	1	5	5	5	5	4	4	4	4	4	5	5	5	5	5	4	4	4	4	3	4	4	3	2	4	4	4	4	3	4	4	4	3	4	4	3	4	4	4	4	5	5	4	3	4	4	5	5	6	5	6	4	3	3	3	2	2	5	3	1	1	4	3	4	4	4	4	3	3	5	5	4	5	5	5	4	1	1	4	2	2	2	1	2	1	4	2	3	1	2	2	5	2	1	2	2	2	1	1	1	2	2	1	2	1	2	4	1	1	1	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	50	70	0	0	0	2	3	4	5	5	5	1	3	5	5	3	5	5	6	7	6	3	8	5	8	4	8	8	6	5	3	3	3	6	7	5	6	5	6	7	4	2	999	999	7	10	0	0	0	1	3
624	1	43	1	0	2	1	7	4	4	3	1	3	38	1	91330	1	1	2	2	2	2	2	2	2	2	2	3	2	2	2	3	3	3	3	3	4	3	4	3	3	2	3	3	3	3	3	3	3	3	4	3	4	4	3	3	2	3	4	3	5	6	6	3	4	5	3	3	2	3	2	2	2	2	2	2	5	5	2	5	2	2	2	2	2	2	2	2	2	5	2	2	5	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	1	1	2	2	1	2	2	1	2	1	2	1	2	1	2	1	4	1	2	2	2	2	2	2	2	2	2	2	2	1	2	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	999	50	50	0	0	0	0	35	5	5	5	5	1	5	1	5	1	5	7	6	7	7	8	7	7	8	7	6	7	7	7	8	7	9	8	8	8	7	9	9	7	8	2	999	999	7	10	0	0	0	0	9
