     6.000      5.000      5.000      1.000      5.000          *      6.000      6.000      6.000      6.000      6.000      6.000      6.000      6.000      6.000      6.000      6.000      6.000      6.000      6.000      6.000      6.000      6.000      6.000      1.000      0.000      7.000     10.000      3.000      2.000  303      1.000      0.000      7.000     10.000      3.000      2.000      1.085      0.309      0.034      0.618     -0.036      0.636      0.728      0.542      1.268      0.342      0.008      0.530      1.025      0.557      0.231      0.640     -0.387      0.413      3.242      0.463     -0.089      0.370
     1.000      2.000      2.000      1.000      3.000      3.000      2.000      1.000      3.000      2.000      2.000      2.000      3.000      2.000      1.000      1.000      4.000      3.000      3.000      3.000      4.000      4.000      2.000      2.000      1.000      0.000      7.000     10.000      5.000      5.000  864      1.000      0.000      7.000     10.000      5.000      5.000     -1.440      0.306     -0.864      0.613      0.827      0.594     -1.754      0.542     -1.970      0.341     -1.219      0.529      0.967      0.557     -0.916      0.639     -0.376      0.413      3.497      0.463      2.195      0.370
     4.000      2.000      4.000      2.000      2.000      1.000      6.000      6.000      4.000      4.000      4.000      3.000      5.000      5.000      4.000      2.000      2.000      1.000      6.000      6.000      4.000      4.000      4.000      3.000      3.000      1.000      7.000     10.000      4.000      3.000  898      3.000      1.000      7.000     10.000      4.000      3.000     -0.769      0.306      0.562      0.613     -0.270      0.594      1.293      0.542     -0.947      0.341      0.770      0.529     -0.485      0.557      1.377      0.639      0.117      0.413      3.332      0.463      0.844      0.370
     1.000      1.000      1.000      1.000      2.000      1.000      5.000      6.000      6.000      1.000      6.000      1.000      6.000      6.000      6.000      6.000      5.000      5.000      5.000      6.000      6.000      6.000      6.000      6.000      1.000      0.000      7.000     10.000      5.000      5.000  162      1.000      0.000      7.000     10.000      5.000      5.000     -1.726      0.306     -1.061      0.613      0.314      0.594      2.235      0.542      0.925      0.341      0.391      0.529      0.503      0.557      0.676      0.639     -0.231      0.413      3.481      0.463      2.472      0.370
     1.000      1.000      1.000      4.000      3.000      5.000      1.000      6.000      1.000      6.000      6.000      6.000      6.000      6.000          *      6.000          *      2.000      2.000      6.000      6.000      6.000      6.000      6.000      1.000      0.000      7.000     10.000      5.000      5.000 1204      1.000      0.000      7.000     10.000      5.000      5.000      0.024      0.307     -3.360      0.614      0.491      0.595     -0.047      0.542      1.184      0.350     -0.185      0.553     -0.674      0.584     -0.898      0.644     -0.258      0.413      3.460      0.463      2.280      0.370
     2.000      3.000      3.000      1.000      2.000      3.000      2.000      3.000      5.000      4.000      4.000      5.000      6.000      5.000      5.000      5.000      2.000      4.000      4.000      3.000      5.000      4.000      5.000      5.000      2.000      0.000      7.000     10.000      2.000      3.000  703      2.000      0.000      7.000     10.000      2.000      3.000      0.045      0.306     -1.392      0.613     -0.663      0.594     -1.604      0.542      0.170      0.341      0.330      0.529     -0.061      0.557     -1.914      0.639     -0.197      0.413      3.289      0.463      0.347      0.370
     2.000      2.000      1.000      1.000      3.000      2.000      4.000      5.000      3.000      3.000      2.000      2.000      4.000      4.000      5.000      1.000      5.000      3.000      5.000      5.000      6.000      5.000      6.000      6.000      2.000      9.000      7.000     10.000      4.000      4.000  657      2.000      9.000      7.000     10.000      4.000      4.000     -1.534      0.306     -0.583      0.613      0.662      0.594      0.600      0.542      0.523      0.341     -1.029      0.529     -0.752      0.557      0.029      0.639      2.214      0.413      3.624      0.463      1.527      0.370
     1.000      1.000      1.000      1.000      1.000      1.000      1.000      6.000      6.000      1.000      1.000      1.000      3.000      3.000      3.000      1.000      3.000      1.000      1.000      6.000      6.000          *          *          *      2.000      0.000      7.000     10.000      5.000      5.000  794      2.000      0.000      7.000     10.000      5.000      5.000     -2.184      0.307     -0.365      0.614      0.205      0.594      1.196      0.543     -1.136      0.427     -0.905      0.593     -0.707      0.586      1.137      0.654     -0.192      0.413      3.521      0.463      2.310      0.370
     3.000      3.000      2.000      1.000      1.000      3.000      4.000      3.000      2.000      1.000      3.000      1.000      5.000      5.000      5.000      4.000      4.000      4.000      4.000      5.000      5.000      5.000      5.000      5.000      7.000      3.000      7.000     10.000      4.000      5.000  179      7.000      3.000      7.000     10.000      4.000      5.000     -1.782      0.306      0.713      0.613      0.757      0.594     -0.075      0.542      0.085      0.341      0.198      0.529      0.289      0.557     -0.285      0.639      1.234      0.413      3.544      0.463      1.983      0.370
     3.000      3.000      3.000      3.000      4.000      3.000      3.000      2.000      3.000      3.000      3.000      3.000      3.000      3.000      3.000      3.000      4.000      4.000      3.000      3.000      2.000      3.000      4.000      3.000      7.000      9.000      7.000     10.000      5.000      5.000  624      7.000      9.000      7.000     10.000      5.000      5.000     -0.747      0.306     -0.362      0.613      1.142      0.594     -1.632      0.542     -1.475      0.341     -0.623      0.529      1.169      0.557     -1.569      0.639      2.680      0.413      3.672      0.463      2.096      0.370
     4.000      4.000      3.000      3.000      2.000      3.000      3.000      3.000      4.000      4.000      5.000      4.000      4.000      4.000      3.000      4.000      2.000      2.000      3.000      3.000      4.000      4.000      5.000      4.000      2.000      5.000      7.000     10.000      4.000      2.000 1166      2.000      5.000      7.000     10.000      4.000      2.000     -0.006      0.306     -0.439      0.613     -0.119      0.594     -1.270      0.542     -0.670      0.341     -0.623      0.529     -0.199      0.557     -1.516      0.639      1.063      0.413      3.415      0.463      0.300      0.370
